"ID příspěvku","ID stránky","Název stránky",Název,Popis,"Délka (v sekundách)","Čas zveřejnění","Typ titulků","Přímý odkaz","Je crosspost","Je sdílený","Typ příspěvku",Jazyky,"Vlastní štítky","Stav financovaného obsahu","Komentář s daty",Datum,Zhlédnutí,Dosah,"Reakce, komentáře a sdílení",Reakce,Komentáře,Sdílení,"Celkem kliknutí","Spotřeba cílení na shodující se okruh uživatelů (Photo Click)","Jiná kliknutí","Kliknutí na odkaz",IMPRESSION:UNIQUE_USERS,"Zhlédnutí s","Průměrné zhlédnutí s","Odhadované výdělky (USD)","CPM reklamy v (USD)","Zobrazení reklamy"
1150144300242585,100057410770738,"Prague International Chess Festival","It's him! 👑 The crown of the Masters tournament at the 7th Prague International Chess Festival belongs to Aravindh Chithambaram! Congratulations! 🏆⭐️

🇨🇿 To je on! 👑 Titul šampiona turnaje Masters na sedmém Prague International Chess Festivalu patří Aravindhu Chithambaramovi! Gratulujeme! 🏆⭐️",,0,"03/07/2025 05:40",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0Z8rtL5j2cpWqsWdz4Rs9FgeVESXtVoCHC1To1i7774b9E95Zy7gtRoNns9M1Ua9xl,0,0,Fotky,,,,,Dlouhodobě,1067,391,30,27,0,3,10,2,8,,,,,,,
1150176966905985,100057410770738,"Prague International Chess Festival","🔥♟ The battle isn’t over yet! It’s tiebreak time for Nodirbek Yakubboev and Jonas Buhl Bjerre. Who will secure a spot in the Masters? Stay tuned! 💪 #Challengers

🇨🇿 🔥♟ Boj ještě nekončí! Čeká nás tiebreak mezi Nodirbekem Yakubboevem a Jonasem Buhlem Bjerrem. Kdo si zajistí místo v Masters? Sledujte velké finále #Challengers! 💪",,0,"03/07/2025 06:32",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0oKyeXbAPjoFbLeeiWgPHU9pz1DgJh9QP9S9Lj1WkmnRooy1sZJe4LYjWjJtmmiN6l,0,0,Fotky,,,,,Dlouhodobě,1049,515,9,7,1,1,7,7,,,,,,,,
1150231526900529,100057410770738,"Prague International Chess Festival","Victory belongs to Sara Maria Sunea! Congratulations on claiming glory in the first-ever all-female Prague International Chess Festival Futures! 🇷🇴💯

🇨🇿 Vítězství patří Saře Marii Sunea! Gratulujeme k triumfu v historicky prvním čistě ženském turnaji Futures na Prague International Chess Festivalu! 🇷🇴💯",,0,"03/07/2025 07:59",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02RUV2ECouebxpcsPN3rBRAUe884MUydVC9fz63yuyfEiKcFFdHkfwFoRkEaThM12xl,0,0,Fotky,,,,,Dlouhodobě,16880,1466,1788,1234,531,23,1129,134,995,,,,,,,
1150252333565115,100057410770738,"Prague International Chess Festival","The result that crowned our winner and set up an exciting tiebreak! Congratulations to the top players and fingers crossed for the grand finale! 🤞

Výsledky, které korunovaly našeho vítěze a připravily půdu pro napínavý tiebreak! Gratulace nejlepším hráčům – držíme palce na velké finále! 🤞",,0,"03/07/2025 08:30",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02HbmRuQsKNN85oxUEeBZZBwEteD3maoWkTu9hPiszMcxwPxDerQXt6B61yQWhfyP6l,0,0,Fotky,,,,,Dlouhodobě,1115,526,8,6,0,2,21,16,5,,,,,,,
1150290740227941,100057410770738,"Prague International Chess Festival","That will do it! Nodirbek Yakubboev is heading to next year’s Masters after defeating Jonas Buhl Bjerre in two thrilling games. Congratulations! 🔥🏆

🇨🇿 Je hotovo! Nodirbek Yakubboev míří do příštího ročníku Masters poté, co porazil Jonase Buhla Bjerra ve dvou napínavých partiích. Gratulujeme! 🔥🏆",,0,"03/07/2025 09:36",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid038ESpR9oV8syHt6kknxzVbz2vLxfTiQVA1XBn2tP6GpDWzkoPK5pzGDy5m26MkMSbl,0,0,Fotky,,,,,Dlouhodobě,1004,526,8,6,0,2,5,,5,,,,,,,
1150361473554201,100057410770738,"Prague International Chess Festival","Prague International Chess Festival přidal(a) fotky do alba: PICF 2025 - Round 9 (by Petr Vrabec)",,0,"03/07/2025 11:53",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0QvVAY3a74vywWtdAk6JKwdJE2Pgy1GuhC9pGohYEU4mN9VcGsnUKifjHHAnZsBxml,0,0,Fotky,,,,,Dlouhodobě,1414,612,14,13,0,1,103,77,26,,,,,,,
1150699436853738,100057410770738,"Prague International Chess Festival","🎥 The last day of the Prague International Chess Festival is behind us. Chess has taken over Prague completely! 🔥Take a look at how the final round unfolded.👇

🇨🇿 Poslední den Pražského šachového festivalu je za námi. Šachy ovládly Prahu naplno! Podívejte se, jak probíhalo závěrečné kolo.","🎥 The last day of the @[100057410770738:2048:Prague International Chess Festival] is behind us. Chess has taken over Prague completely! 🔥Take a look at how the final round unfolded.👇

🇨🇿 Poslední den Pražského šachového festivalu je za námi. Šachy ovládly Prahu naplno! Podívejte se, jak probíhalo závěrečné kolo.",142,"03/07/2025 23:11",N/A,https://www.facebook.com/PragueChessFestival/videos/3844915462505060/,0,0,Videa,,,,,Dlouhodobě,624,381,20,16,0,4,12,,12,,,7255.217,13.952,0,0,0
1150750850181930,100057410770738,"Prague International Chess Festival","Prague International Chess Festival přidal(a) fotky do alba: PICF 2025 - Tiebreak + Closing ceremony (by Anežka Kružíková)",,0,"03/08/2025 00:54",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid022KXXszqKVCjbYBViZpHfNAeZS9jwpwhyy1UWba9EBBNmiS85vYAaZ6h5hSnfhBKRl,0,0,Fotky,,,,,Dlouhodobě,993,463,10,9,0,1,71,47,24,,,,,,,
1150819280175087,100057410770738,"Prague International Chess Festival","🎥 Winner of the Prague International Chess Festival Aravindh Chithambaram: ""After I got the lead, I could not sleep at all. I was thinking of winning the tournament, like every single time.""

🇨🇿 Vítěz Pražského šachového festivalu Aravindh Chithambaram: ""Poté, co jsem se dostal do vedení, jsem vůbec nemohl spát. Neustále jsem přemýšlel o vítězství v turnaji, doslova každou chvíli.""","🎥 Winner of the Prague International Chess Festival Aravindh Chithambaram: ""After I got the lead, I could not sleep at all. I was thinking of winning the tournament, like every single time.""

🇨🇿 Vítěz Pražského šachového festivalu Aravindh Chithambaram: ""Poté, co jsem se dostal do vedení, jsem vůbec nemohl spát. Neustále jsem přemýšlel o vítězství v turnaji, doslova každou chvíli.""",72,"03/08/2025 03:08",N/A,https://www.facebook.com/PragueChessFestival/videos/2581380162063964/,0,0,Videa,,,,,Dlouhodobě,433,383,12,10,0,2,4,,4,,,3114.096,7.844,0,0,0
1150847866838895,100057410770738,"Prague International Chess Festival","🎥 Winner of the Challengers tournament Nodirbek Yakubboev spoke in an interview about the dramatic tiebreak.👇

🇨🇿 Vítěz Challengers Nodirbek Yakubboev mluvil v rozhovoru o dramatickém tiebreaku. 👇","🎥 Winner of the Challengers tournament Nodirbek Yakubboev spoke in an interview about the dramatic tiebreak.👇

🇨🇿 Vítěz Challengers Nodirbek Yakubboev mluvil v rozhovoru o dramatickém tiebreaku. 👇",113,"03/08/2025 03:57",N/A,https://www.facebook.com/PragueChessFestival/videos/657985203315191/,0,0,Videa,,,,,Dlouhodobě,483,419,8,6,0,2,2,,2,,,2605.375,5.726,0,0,0
1150977130159302,100057410770738,"Prague International Chess Festival","✅ All said and done! Here are the final results of this year’s Prague International Chess Festival. Which score surprised you the most?

🇨🇿 ✅ Sečteno, podtrženo! Tady jsou finální výsledky letošního Pražského šachového festivalu. Které skóre vás nejvíc překvapilo?",,0,"03/08/2025 06:52",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02vftuzmjGx1JvszzCXYkmDi9VqLGCHwwyxbRqg2D21Jf1wbtTFKnscW3vF5HNZMXWl,0,0,Fotky,,,,,Dlouhodobě,1018,347,13,10,1,2,36,23,13,,,,,,,
1151064003483948,100057410770738,"Prague International Chess Festival","🤝 Bound to win together! Congratulations to our best Masters-Futures combo this year! The path to greatness is paved with inspiration, and you certainly showed that! 🫶

🇨🇿 🤝 Společně k vítězství! Gratulujeme našemu nejlepšímu Masters-Futures týmu letošního roku! Cesta k velikosti je dlážděna inspirací – a vy jste to jednoznačně prokázali! 🫶",,0,"03/08/2025 09:07",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0RjtCg18Hypi23ek8TF1cp621fkodihNPYstPnkD7K4rUFxGkZzGjrUxKFGLhKpt6l,0,0,Fotky,,,,,Dlouhodobě,2288,898,124,111,10,3,142,20,122,,,,,,,
1151136460143369,100057410770738,"Prague International Chess Festival","🔜 The chessboards are packed away, the pieces safely stored. But the memories? They linger and will stay with us for a long time. One thing is certain—time flies! Before we know it, another year will pass, and we’ll meet again at Don Giovanni Hotel Prague. We can’t wait to see you all! ♟️✨ #PICF2026

🇨🇿 🔜 Šachovnice jsou uklizené, figury bezpečně schované. Ale vzpomínky? Ty přetrvávají a zůstanou s námi ještě dlouho. Jedno je však jisté – čas letí! Rok uteče jako voda, a my se znovu setkáme v hotelu Don Giovanni. Už se vás nemůžeme dočkat! ♟️✨  #PICF2026",,0,"03/08/2025 11:20",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0VAyRXU1SQBaYCgq7mhgrcaf8ZqFWC4FgseCEu1PsQ1XJGPBHfeMGba5nmjtPYs16l,0,0,Fotky,,,,,Dlouhodobě,809,419,11,9,0,2,2,1,1,,,,,,,
1151689923421356,100057410770738,"Prague International Chess Festival","🖐🧠 Nothing beats some after-hours Hand & Brain action! A great festival tradition continued under the roof of Don Giovanni Hotel Prague, featuring some fantastic pairings. Take a look!

🇨🇿 🖐🧠 Nic nepřekoná tradiční Hand & Brain zábavu! Skvělá festivalová tradice pokračovala pod střechou hotelu Don Giovanni, kde jsme v akci viděli několik úžasných dvojic. Podívejte se na fotky!
📷 Petr Vrabec",,0,"03/09/2025 04:56",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0xmtG4NfhNJfn6D3ptv59rEcXUG7FFP5mvcdVxqRRDRz51vBq6aDsjgwUkysUsadRl,0,0,Fotky,,,,,Dlouhodobě,1459,753,38,36,0,2,113,92,21,,,,,,,
1151993320057683,100057410770738,"Prague International Chess Festival","🫡 Complete focus, then relief—and a ticket to next year’s Challengers tournament! Congratulations again to our Karel Janeček Open champion, Thomas Beerdsen. See you in 2026! 🔝

🇨🇿 🫡 Naprosté soustředění, potom úleva—a vstupenka do turnaje Challengers na příští rok! Ještě jednou gratulujeme vítězi Karel Janeček Openu, Thomasi Beerdsenovi. Uvidíme se v roce 2026! 🔝",,0,"03/09/2025 12:59",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02S2bGmnheb9mEBgQUo3F2tqTABTq9L6emWFF26YRc4L1Ny5KuwNu5fXwov4L8EM3Nl,0,0,Fotky,,,,,Dlouhodobě,1142,564,18,15,0,3,51,43,8,,,,,,,
1153215206602161,100057410770738,"Prague International Chess Festival","PICF2025 Hand & Brain","👉 One hand, one brain, and endless laughs! Check out the highlights from our legendary afterparty game. Any guesses on which duo nailed it? 🧠

🇨🇿 👉 Jedna ruka, jeden mozek a nekonečná zábava! Podívejte se na nejlepší momenty z naší legendární afterparty hry. Uhádnete, která dvojice ji zvládla nejlépe? 🧠",101,"03/11/2025 02:45",N/A,https://www.facebook.com/PragueChessFestival/videos/611911888353613/,0,0,Videa,,,,,Dlouhodobě,668,516,30,26,0,4,17,,17,,,9847.175,16.633,0,0,0
