"ID příspěvku","ID stránky","Název stránky",Název,Popis,"Délka (v sekundách)","Čas zveřejnění","Typ titulků","Přímý odkaz","Je crosspost","Je sdílený","Typ příspěvku",Jazyky,"Vlastní štítky","Stav financovaného obsahu","Komentář s daty",Datum,Zhlédnutí,Dosah,IMPRESSION:UNIQUE_USERS,"Reakce, komentáře a sdílení",Reakce,Komentáře,Sdílení,"Celkem kliknutí","Jiná kliknutí","Spotřeba cílení na shodující se okruh uživatelů (Photo Click)","Kliknutí na odkaz","Negativní ohlasy od uživatelů: Skrýt vše","Zhlédnutí s","Průměrné zhlédnutí s","Odhadované výdělky (USD)","CPM reklamy v (USD)","Zobrazení reklamy"
1448949680362044,100057410770738,"Prague International Chess Festival","🔝 ""It always feels like a second home."" The Challengers nomination for the winner of the Karel Janeček  Open tournament went to the legendary Sasikiran Krishnan. The fifth Indian grandmaster in history lost a mere point and he will compete at the main stage in 2027. 👏

🇨🇿 „Vždycky to tu působí jako druhý domov.“ Nominaci do turnaje Challengers získal vítěz turnaje Karel Janeček Open, legendární Krishnan Sasikiran. Pátý indický velmistr v historii ztratil pouze jeden bod a v roce 2027 si zahraje na hlavní scéně. 👏","🔝 ""It always feels like a second home."" The Challengers nomination for the winner of the @[100044490217012:2048:Karel Janeček]  Open tournament went to the legendary Sasikiran Krishnan. The fifth Indian grandmaster in history lost a mere point and he will compete at the main stage in 2027. 👏

🇨🇿 „Vždycky to tu působí jako druhý domov.“ Nominaci do turnaje Challengers získal vítěz turnaje Karel Janeček Open, legendární Krishnan Sasikiran. Pátý indický velmistr v historii ztratil pouze jeden bod a v roce 2027 si zahraje na hlavní scéně. 👏",108,"03/15/2026 11:44",N/A,https://www.facebook.com/reel/939895161738609/,0,0,Videa,,,,,Dlouhodobě,519,509,,10,10,0,0,4,4,,,,3234.947,6.561,0,0,0
1434391428484536,100057410770738,"Prague International Chess Festival","First of many. Enjoy the Round 1 of this year’s Prague International Chess Festival 🤝

🇨🇿První momentky a mnohé další budou následovat! Užijte si první kolo letošního Pražského šachového festivalu! 🤝",,0,"02/25/2026 06:19",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0YuKSrx8yVs1mG1osEKJHVrTG5jPHnX6dJUfx5u2Arm55UZmmXatXR1opN6yYQ77vl,0,0,Fotky,,,,,Dlouhodobě,2993,1716,,45,40,2,3,296,76,220,,,,,,,
1434355878488091,100057410770738,"Prague International Chess Festival","Opening ceremony 2026 (📸Petr Vrabec)

Zahajovací ceremoniál (📸Petr Vrabec)",,0,"02/25/2026 06:30",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02ARgBRFKzHG5jfdvgkQYFd3HZHMdnyu3HKawjFdSpD29DtvrJjUZu9hTRaHu6LALvl,0,0,Fotky,,,,,Dlouhodobě,4244,2216,,44,43,0,1,784,229,555,,,,,,,
1434432701813742,100057410770738,"Prague International Chess Festival","🗨 ""I did not really have a good run here yet, but this year i am ready to fight"" 🗨 Says the current world number #4 Vincent Keymer. Full interview soon on our Youtube channel. Stay tuned!!! ♟️

🗨 „Zatím jsem tady neměl opravdu dobré období, ale letos jsem připraven bojovat.“ 🗨

Říká aktuální světová čtyřka Vincent Keymer.
Celý rozhovor již brzy na našem YouTube kanálu. Zůstaňte naladěni!!! ♟️","🗨 ""I did not really have a good run here yet, but this year i am ready to fight"" 🗨 Says the current world number #4 Vincent Keymer. Full interview soon on our Youtube channel. Stay tuned!!! ♟️

🗨 „Zatím jsem tady neměl opravdu dobré období, ale letos jsem připraven bojovat.“ 🗨

Říká aktuální světová čtyřka Vincent Keymer.
Celý rozhovor již brzy na našem YouTube kanálu. Zůstaňte naladěni!!! ♟️",137,"02/25/2026 07:21",uploaded,https://www.facebook.com/reel/1480502293794270/,0,0,Videa,,,,,Dlouhodobě,565,455,,7,7,0,0,6,6,,,,3353.286,7.104,0,0,0
1434613911795621,100057410770738,"Prague International Chess Festival","♟️ On day one of the Masters category we have four winners already. The biggest upset was made by Jorden van Foreest, who took down world number four Vincent Keymer. Listen to the Dutch grandmaster’s immediate reactions. ♟️

♟️První den máme v kategorii Masters hned čtyři vítěze. Huge upset zařídil Jorden van Foreest, který si vyšlápl na světovou čtyřku Vincenta Keymera. Poslechněte si bezprostřední dojmy nizozemského velmistra. ♟️","♟️ On day one of the Masters category we have four winners already. The biggest upset was made by Jorden van Foreest, who took down world number four Vincent Keymer. Listen to the Dutch grandmaster’s immediate reactions. ♟️

♟️První den máme v kategorii Masters hned čtyři vítěze. Huge upset zařídil Jorden van Foreest, který si vyšlápl na světovou čtyřku Vincenta Keymera. Poslechněte si bezprostřední dojmy nizozemského velmistra. ♟️",135,"02/25/2026 12:22",mixed,https://www.facebook.com/reel/2107388916764594/,0,0,Videa,,,,,Dlouhodobě,542,470,,8,8,0,0,16,16,,,,4824.564,10.697,0,0,0
1434654981791514,100057410770738,"Prague International Chess Festival","🏆 It’s been a winner’s game since day one! Which one stood out for you? Cast your vote and help us decide who takes the award! 👉 ♟️ https://praguechessfestival.com/en/2026/vote

🇨🇿 🏆 Už od prvního dne jedeme na vítězství! Která partie se vám líbila nejvíc? Hlasujte a pomozte nám rozhodnout, kdo získá ocenění! 👉 ♟️ https://praguechessfestival.com/cs/2026/vote",,0,"02/25/2026 13:40",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02UvSv9HjFVhYHAfNcTT7j5CkfyboYCFSx2Sm9tZ6eGfeekQQpDuK1mJhtvWNsdFGYl,0,0,Fotky,,,,,Dlouhodobě,2960,1728,,36,35,1,0,230,130,80,20,,,,,,
1434737108449968,100057410770738,"Prague International Chess Festival","Prague International Chess Festival přidal(a) fotky do alba: PICF2026 - Round 1",,0,"02/25/2026 16:17",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02QNvW11uyVp29CUWu7g1Jco1CXroJUU7Haii7CfohCRQyK3jnADkCFpGVocCBirLol,0,0,Fotky,,,,,Dlouhodobě,1772,1011,,19,17,2,0,153,33,120,,,,,,,
1434944381762574,100057410770738,"Prague International Chess Festival","A lot of decisive games in Round 1. The players are on their toes from the very beginning. Exactly the kind of action we love to see! ♟️🔥

🇨🇿 Spousta rozhodných partií hned v 1. kole. Hráči jsou ve střehu od úplného začátku. Přesně takovou podívanou chceme vidět! ♟️🔥",,0,"02/25/2026 22:05",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02pubyEQV9D2GRrydhogGKpff7BDJPvCfu8CKcDgz9Hs7WF1Nwy38fuuSjuCvMukWil,0,0,Fotky,,,,,Dlouhodobě,817,418,,9,8,1,0,19,13,6,,,,,,,
1435052725085073,100057410770738,"Prague International Chess Festival","PICF2026 - Highlights of Round 1","☝ Ready, set ... see the action of the Round 1 of @[100057410770738:2048:Prague International Chess Festival]! Here's your highlights! 📼

☝ Připravit, pozor… a do akce! Podívejte se na nejzajímavější momenty z prvního kola Pražského šachového festivalu! 📼♟️",66,"02/26/2026 00:56",N/A,https://www.facebook.com/reel/887429740753312/,0,0,Videa,,,,,Dlouhodobě,533,390,,7,6,0,1,18,18,,,,10937.888,26.612,0,0,0
1435074461749566,100057410770738,"Prague International Chess Festival","Have you ever wondered how chess players spend their mornings before games? Well, for example, Daniil Yuffa gives concerts in the hotel lobby 🎶 

Už jste někdy přemýšleli, jak šachisté tráví dopoledne před partiemi? Tak třeba Daniil Yuffa koncertuje v hotelovém lobby 🎶","Have you ever wondered how chess players spend their mornings before games? Well, for example, Daniil Yuffa gives concerts in the hotel lobby 🎶 

Už jste někdy přemýšleli, jak šachisté tráví dopoledne před partiemi? Tak třeba Daniil Yuffa koncertuje v hotelovém lobby 🎶",40,"02/26/2026 01:32",N/A,https://www.facebook.com/reel/824861013975282/,0,0,Videa,,,,,Dlouhodobě,875,781,,28,28,0,0,23,23,,,,6358.025,8.387,0,0,0
1435093451747667,100057410770738,"Prague International Chess Festival","PICF2026 - David Navara after a win against Parham Maghsoodloo","Exchange pieces, set the trap! David Navara is proudly holding the Czech flag high as domestic players scored an impressive 3.5 points across the Masters and Challengers. 💪♟️

🇨🇿 Vyměnit figury, nastražit past! David Navara hrdě drží českou vlajku vysoko. Domácí hráči vybojovali skvělých 3,5 bodu v prvním kole Masters a Challengers. 💪♟️",114,"02/26/2026 02:04",mixed,https://www.facebook.com/reel/965213996177274/,1,0,Videa,,,,,Dlouhodobě,847,766,,17,16,1,0,42,42,,,,7838.297,10.549,0,0,2
1435139305076415,100057410770738,"Prague International Chess Festival","PICF2026 - Nodirbek Yakubboev after a win against David Anton Guijarro","📣 What an entrance to the big league! A first-ever Masters victory for @[100010138388858:2048:Nodirbek Yakubboev], as the promoted Challenger defeated David Anton Guijarro. Let's hear Yakubboev break down how he built and converted his advantage. 🔝

🇨🇿 📣 Tomu říkáme vstup mezi elitu! První vítězství v turnaji Masters pro Nodirbeka Jakubboeva. Nováček, který v loňském roce postoupil z Challengers, porazil Davida Antóna Guijarra. Pojďme si poslechnout, jak Yakubboev vybudoval svou výhodu a proměnil ji v premiérový bod. 🔝",89,"02/26/2026 03:20",N/A,https://www.facebook.com/reel/915781914166193/,0,0,Videa,,,,,Dlouhodobě,598,502,,5,4,0,1,11,11,,,,3510.12,6.829,0,0,0
1435162188407460,100057410770738,"Prague International Chess Festival","The pairings for Round 2 of the Masters tournament are here!🔥 We start at 3:00 PM. Join us at the Don Giovanni Hotel Prague or follow live broadcast with commentary. ♟️🎙️
🇬🇧 https://www.youtube.com/watch?v=gRFBV_QAi84

Rozlosování druhého kola turnaje Masters je tady! Startujeme v 15:00. Přijďte se podívat do pražského hotelu Don Giovanni nebo sledujte náš živý přenos s komentářem.
🇨🇿 https://www.youtube.com/watch?v=P1Vjz9fJqOU",,0,"02/26/2026 03:57",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid024oTzR7aH5XeNmzi29LQigwAz7eNvbNbtrFpfRZMFNuRiBSuLEHRgns1XYGC9CZYbl,0,0,Fotky,,,,,Dlouhodobě,826,466,,4,4,0,0,16,4,6,6,,,,,,
1435171968406482,100057410770738,"Prague International Chess Festival","Who are your favorites in Round 2 of the Challengers tournament? ♟️🔥 You can look forward to an all-Czech clash: Němec vs. Finěk. 🇨🇿 We start at 3:00 PM!

Kdo jsou vaši favorité ve 2. kole turnaje Challengers? ♟️🔥 Můžete se těšit na speciální český souboj: Němec vs. Finěk. 🇨🇿 Začínáme v 15:00, těšíme se na vás.",,0,"02/26/2026 04:12",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid024bzsnbgqm9FGidaYTxHRCjWXN7jjG2XGKgdcWTAFcaU1PFf1bYZNmjr9CrhN4676l,0,0,Fotky,,,,,Dlouhodobě,978,544,,7,6,0,1,13,5,8,,,,,,,
1435321908391488,100057410770738,"Prague International Chess Festival","👌♟️The ceremonial first move was made by Johan Berntsen, Tournament Director of the Tepe Sigeman. Round 2 has begun, come and support your favorites or follow our live streams. 🎥

Úvodního tahu ve druhém kole se ujal Johan Berntsen, ředitel turnaje Tepe Sigeman. Začínáme, přijďte podpořit svoje favority nebo sledujte naše živé streamy. Těšíme se na vás!

📸 |Petr Vrabec",,0,"02/26/2026 07:30",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0riSrCBvwspfDFqCTmaDuZdWtNZf4YLE78ZySa1TxmvvyQhnneQ9WxwBS1gzcQ3Acl,0,0,Fotky,,,,,Dlouhodobě,2092,1337,,30,29,0,1,75,60,15,,,,,,,
1435411581715854,100057410770738,"Prague International Chess Festival","David Anton Guijarro has returned to the Prague International Chess Festival for the fourth time. He previously played in the Challengers tournament once and is now competing in the Masters for the third time. Welcome back, David Anton, we’re looking forward to your games! ♟️🔥

David Antón Guijarro se vrátil na Pražský šachový festival už počtvrté, jednou si zahrál turnaj Challengers, v turnaji Masters nastupuje potřetí. Vítáme vás zpět, těšíme se zajímavé partie!","David Anton Guijarro has returned to the Prague International Chess Festival for the fourth time. He previously played in the Challengers tournament once and is now competing in the Masters for the third time. Welcome back, David Anton, we’re looking forward to your games! ♟️🔥

David Antón Guijarro se vrátil na Pražský šachový festival už počtvrté, jednou si zahrál turnaj Challengers, v turnaji Masters nastupuje potřetí. Vítáme vás zpět, těšíme se zajímavé partie!",122,"02/26/2026 09:35",N/A,https://www.facebook.com/reel/2394142077678123/,0,0,Videa,,,,,Dlouhodobě,580,490,,8,8,0,0,5,5,,,,2295.741,4.628,0,0,0
1435457108377968,100057410770738,"Prague International Chess Festival","👐 354 players from 51 countries are taking part! This year’s Karel Janeček Open Tournament is in full swing with a record-breaking field.

There’s a lot at stake! The best player earns a spot in the Challengers, and Czech players have a chance to qualify for the national championship. Thank you for the incredible interest in the royal game! ♟️ 🙏

🇨🇿 👐 354 hráčů z 51 zemí je ve hře! Letošní turnaj Karel Janeček Open je v plném proudu a může se pochlubit rekordním počtem účastníků.

Ve hře je opravdu hodně! Nejlepší hráč si zajistí postup do Challengers a čeští šachisté mají šanci kvalifikovat se na mistrovství republiky. Děkujeme za neuvěřitelný zájem o královskou hru! ♟️ 🙏",,0,"02/26/2026 10:50",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02ShUF3wPR65tAbM4Fh4V74g39WKaWJzMydyGwh29dxEaDK92XBjtxb6e4AGFEjvNAl,0,0,Fotky,,,,,Dlouhodobě,5225,3595,,48,45,0,3,303,176,127,,,,,,,
1435485465041799,100057410770738,"Prague International Chess Festival","👉 Here are the results of Round 2 of the Masters at the Prague Chess Festival, we saw two decisive games today. ♟️🔥 Don’t forget to vote for the game you liked the most: https://praguechessfestival.com/en/2026/vote

👉 Tady jsou výsledky 2. kola Masters na Pražském šachovém festivalu, viděli jsme dvě vítězné partie. Nezapomeňte hlasovat, která partie se vám líbila nejvíc: https://praguechessfestival.com/cs/2026/vote 🔥",,0,"02/26/2026 11:42",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02ZjG6ShZsd2dWQwkrFBBsUSmysRZBrhwAe469NzJxxYdYu9uKAVNs5C9HwfVNBNspl,0,0,Fotky,,,,,Dlouhodobě,1106,588,,12,11,1,0,39,13,19,7,,,,,,
1435508278372851,100057410770738,"Prague International Chess Festival","Round 2 of the Challengers Tournament brought exciting battles and three decisive games. ♟️🔥 Which game did you enjoy the most?

Druhé kolo turnaje Challengers přineslo zajímavé souboje a hned tři vítězné partie.Který duel se vám líbil nejvíc?",,0,"02/26/2026 12:12",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid02DVoGD2wWHpsjh2X7qdZj6R1FJEtRg2sZK7RWJJLCrSAa28jJPnnPvNWZ2gpZ8Widl,0,0,Fotky,,,,,Dlouhodobě,1128,689,,8,8,0,0,30,16,14,,,,,,,
1435584791698533,100057410770738,"Prague International Chess Festival","📷 🤩Take a look at what Day 2 at PICF looked like! You can find all the photos here: https://eu.zonerama.com/PragueIntarnationalChessFestival/1697708 

Podívejte se, jak vypadal 2. den na PICF!

📸 Petr Vrabec",,0,"02/26/2026 14:36",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0DkDSD1TvGXq8j4JqHTDMtb3HjME1XPCYnCbsSSmGWH8Bzj4yRfBkn49kUskEDuB4l,0,0,Fotky,,,,,Dlouhodobě,2331,1184,,33,32,0,1,229,62,150,17,,,,,,
1435855848338094,100057410770738,"Prague International Chess Festival","🔥The first two rounds of the Masters have brought plenty of exciting games, here is the current standings. ♟️Don’t miss Round 3, starting today at 3:00 PM.⏰

🔥 Dvě kola turnaje Masters přinesla spoustu zajímavých partií, tady je aktuální pořadí hráčů. Nezapomeňte sledovat třetí kolo, už dnes od 15:00.",,0,"02/26/2026 22:27",N/A,https://www.facebook.com/PragueChessFestival/posts/pfbid0BsDvAkEqkiu4BxguMCf2AGH3q6qz4ajQNx3ppCofTvLYznA83bdEozUEo96tpEoPl,0,0,Fotky,,,,,Dlouhodobě,4992,3510,,25,24,0,1,139,106,33,,,,,,,
