"ID příspěvku","ID účtu","Uživatelské jméno účtu","Název účtu",Popis,"Délka (v sekundách)","Čas zveřejnění","Přímý odkaz","Typ příspěvku","Komentář s daty",Datum,Zobrazení,Dosah,"To se mi líbí",Sdílené,Sledující,Komentáře,Uložení
18084655733185032,17841409576254354,praguechessfestival,"Prague Chess Festival","Just another day packed with chess.♟️💥 

Další šachový den v @hotelgiovanniprg ♟️❤️

#chess #prague #festival #sachy",23,"02/27/2026 06:39",https://www.instagram.com/reel/DVQ9JWxjE6L/,"IG reel",,Dlouhodobě,3005,2044,108,3,7,1,4
18142441213489026,17841409576254354,praguechessfestival,"Prague Chess Festival","Who in the Challengers category will win today? We find out this evening! 🔥

Kdo dnes uspěje v kategorii Challengers? To zjistíme po 15té hodině. 

#chess #prague #festival",0,"02/27/2026 05:13",https://www.instagram.com/p/DVQzTTJDBlG/,"IG image",,Dlouhodobě,1569,914,22,1,0,0,1
17989683158944449,17841409576254354,praguechessfestival,"Prague Chess Festival","🔝 ""It always feels like a second home."" The Challengers nomination for the winner of the @karel252 Open tournament went to the legendary @gmsasikiran. The fifth Indian grandmaster in history lost a mere point and he will compete at the main stage in 2027. 👏

🇨🇿 „Vždycky to tu působí jako druhý domov.“ Nominaci do turnaje Challengers získal vítěz turnaje Karel Janeček Open, legendární Krishnan Sasikiran. Pátý indický velmistr v historii ztratil pouze jeden bod a v roce 2027 si zahraje na hlavní scéně. 👏
.
#PICF #PICF2026 #KarelJanecekOpen #chess",108,"03/15/2026 09:57",https://www.instagram.com/reel/DV6aAd_gDhB/,"IG reel",,Dlouhodobě,1226,809,12,1,0,0,0
18572976376025383,17841409576254354,praguechessfestival,"Prague Chess Festival","👱‍♀️ 🫶 “She helped me win this tournament!” Send some love for our Futures winner Kaja Rzadkowska, who also praised her sister Lila for her contribution on the final day of the festival. Congratulations again!

🇨🇿 👱‍♀️ „Pomohla mi vyhrát tento turnaj!“ Připojte se s námi k oslavě naší vítězky turnaje Futures Kaji Rzadkowské, která v rozhovoru vyzdvihla svou sestru Lilu za její podporu v poslední den festivalu. Ještě jednou gratulujeme!
.
#PICF #PICF2026 #Futures #PragueChess @chess.sisters.kaja.lila",129,"03/11/2026 09:16",https://www.instagram.com/reel/DVwCE5TCBNr/,"IG reel",,Dlouhodobě,4006,2525,166,22,2,5,15
18102653932714252,17841409576254354,praguechessfestival,"Prague Chess Festival","🙏 “Thank you for your support, I hope you liked my games.” Ever-humble David Navara remains a local hero. In his final interview, he praised Challengers winner Václav Finěk and also expressed his appreciation for the love from the fans. 👏

🇨🇿 🙏 „Děkuji za vaši podporu, doufám, že se vám mé partie líbily.“ Vždy skromný David Navara zůstává naším hrdinou. Ve svém závěrečném rozhovoru vyzdvihl vítěze turnaje Challengers Václava Fiňka a také poděkoval fanouškům za jejich podporu. 👏
.
#PICF #PICF2026 #PragueChess #PragueMasters #DavidNavara",95,"03/10/2026 11:05",https://www.instagram.com/reel/DVtpz36kVJk/,"IG reel",,Dlouhodobě,1334,861,48,1,1,1,2
18320723590271163,17841409576254354,praguechessfestival,"Prague Chess Festival","🚶‍♀️‍➡️ The @praguechessfestival 's home. Our dear commentator and interviewer @keti_tsatsalashvili took us along as she explored the City of a Hundred Spires. Now we invite you to join the journey! The whole tour is on our YouTube channel. Link in bio! 😎

🇨🇿 🚶‍♀️‍➡️ Domov našeho festivalu. Naše milá komentátorka a moderátorka #KetiTsatsalashvili nás vzala s sebou při objevování stověžatého města. Teď zveme na procházku i vás! Celé video najdete na našem YouTube kanále. Link jsme schovali do bia! 😎
.
#PICF #PICF2026 #Prague #PragueChess #PragueMasters #chess",85,"03/10/2026 08:35",https://www.instagram.com/reel/DVtYoSHiq8L/,"IG reel",,Dlouhodobě,3734,2319,68,2,0,3,3
18108429451801203,17841407343290110,matej_konig_official,"Matěj König","Bylo pro mě velkou ctí zahájit partii úřadujícího mistra světa Gukeshe na Prague International Chess Festivalu, největším šachovém turnaji ve střední Evropě. ♟️
9 dní, pětihodinové partie a absolutní soustředění světové špičky. Skvěle se dařilo i Čechům 🇨🇿 – David Navara skončil v Masters na krásném 5. místě a teprve 16letý Václav Finěk vyhrál kategorii Challengers.
Turnaj navíc doplnil open se 400 hráči z více než 50 zemí, kde proti sobě nastupují děti, dospělí, muži i ženy.

Šachy jsou elegance, tak jim dej šanci, třeba příští rok v únoru 2027 na dalším ročníku. Je to navíc úplně zadarmo!

#spoluprace #praguechessfestival",86,"03/08/2026 13:25",https://www.instagram.com/reel/DVov0sMgtfX/,"IG reel",,Dlouhodobě,131527,95748,5675,292,,25,0
18074152127567183,17841409576254354,praguechessfestival,"Prague Chess Festival","🏆 The top three players of the Futures tournament at the Prague International Chess Festival 2026: 

1. Kaja Rzadkowska
2. Christina Jordan
3. Zuzana Stará

Congratulations! ♟️🏆

Tohle jsou tři nejlepší hráčky turnaje Futures na Pražském šachovém festivalu 2026. Gratulujeme!",0,"03/08/2026 07:46",https://www.instagram.com/p/DVoJe2iDOtl/,"IG image",,Dlouhodobě,4800,2304,141,6,1,2,3
18086602853180636,17841409576254354,praguechessfestival,"Prague Chess Festival","🏆 The top three players of the Challengers tournament at the Prague International Chess Festival 2026:

1. Václav Finěk
2. @daniel_yuffa 
3. @divyachess 

Congratulations! ♟️🏆

Tohle jsou tři nejlepší hráči a hráčky turnaje Challengers na Pražském šachovém festivalu 2026. Gratulujeme!",0,"03/08/2026 07:42",https://www.instagram.com/p/DVoJBATjL2k/,"IG image",,Dlouhodobě,1333,675,46,2,0,0,1
18082695896254066,17841409576254354,praguechessfestival,"Prague Chess Festival","🏆 The top three players of the Masters tournament at the Prague International Chess Festival 2026:

1. @abdusattorov_nodirbek_official

2. @parhammaghsoodloo

3. Aravindh Chithambaram

Congratulations! ♟️🏆

Tohle jsou tři nejlepší hráči turnaje Masters na Pražském šachovém festivalu 2026. Gratulujeme!",0,"03/08/2026 07:39",https://www.instagram.com/p/DVoIrb4DAwD/,"IG image",,Dlouhodobě,3453,1825,199,2,1,1,3
